Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-February-2018,468.00,478.90,457.45,473.75,470.389603712665976597,145879,2521,68619965.00,47614,32.64,21.45,5.75
5-February-2018,479.00,488.30,452.00,485.10,476.314505012985882387,137842,2215,65656144.00,38210,27.72,36.30,6.10
2-February-2018,500.00,500.00,480.55,483.60,490.113628595517139233,131657,2476,64526890.00,41166,31.27,19.45,-16.40
1-February-2018,505.00,510.90,493.00,504.55,504.165704618759469432,107583,1968,54239659.00,28314,26.32,17.90,-0.45
31-January-2018,504.50,506.35,500.60,504.80,503.720003144421426457,216256,1835,108932473.00,136595,63.16,5.75,0.30
30-January-2018,504.65,510.00,496.40,506.90,504.924228700687998047,426164,3133,215180529.00,273931,64.28,13.60,2.25
29-January-2018,512.00,514.00,503.25,505.20,507.320984432294181357,76633,1262,38877529.00,34042,44.42,10.75,-6.80
25-January-2018,514.00,517.25,508.45,510.85,512.739250639597260047,145404,2453,74554338.00,59618,41.00,8.80,-3.15
24-January-2018,538.80,538.80,510.00,513.75,518.214074365707837988,246377,4533,127676029.00,67375,27.35,28.80,-25.05
23-January-2018,535.00,543.65,533.50,536.50,539.133859096402721384,294556,4123,158805113.00,72453,24.60,10.15,1.50
22-January-2018,524.65,530.00,522.75,528.95,526.614820361032792447,85477,1397,45013455.00,31553,36.91,7.25,4.30
19-January-2018,534.00,534.95,519.30,524.65,527.309890591681779230,551969,1724,291058713.00,468216,84.83,15.65,-9.35
18-January-2018,536.00,538.35,521.05,525.35,529.063202796673271325,158474,2431,83842762.00,58586,36.97,17.30,-10.65
17-January-2018,524.95,530.00,520.00,525.05,525.041925224543919443,96529,1522,50681772.00,33628,34.84,10.00,0.10
16-January-2018,531.55,532.20,518.00,522.55,524.406053027358602159,118354,2227,62065554.00,53074,44.84,14.20,-9.00
15-January-2018,534.10,536.80,529.70,530.30,532.661968085106382978,33840,744,18025281.00,12612,37.27,7.10,-3.80
12-January-2018,545.00,545.00,527.35,531.60,533.136475357912073989,39465,810,21040231.00,11449,29.01,17.65,-13.40
11-January-2018,530.30,541.70,529.55,534.50,537.431087481422004959,2089838,1935,1123143909.00,2016708,96.50,12.15,4.20
10-January-2018,535.00,539.95,527.65,529.75,531.555066363128731583,46562,1438,24750267.00,17696,38.01,12.30,-5.25
9-January-2018,546.00,547.20,534.00,538.75,541.447374117850803134,69291,1382,37517430.00,24204,34.93,13.20,-7.25
8-January-2018,541.90,550.00,540.95,544.95,541.884627450697572110,2218552,3276,1202199224.00,2056816,92.71,9.05,3.05
5-January-2018,516.50,542.00,515.75,539.65,533.136091525491989793,347619,7254,185328235.00,129234,37.18,26.25,23.15
4-January-2018,516.70,519.00,510.15,517.75,514.957145831278831508,91263,1373,46996534.00,41330,45.29,8.85,1.05
3-January-2018,512.30,516.85,509.15,515.50,514.269245607266860730,57026,1869,29326718.00,23006,40.34,7.70,3.20
2-January-2018,510.05,513.60,508.20,511.95,510.280855941918226977,28787,668,14689455.00,13816,47.99,5.40,1.90
1-January-2018,510.00,512.95,507.00,508.95,510.811666303908460557,32161,647,16428214.00,12126,37.70,5.95,-1.05
29-December-2017,510.00,510.85,508.10,509.25,509.671611361079865016,28448,519,14499138.00,9448,33.21,2.75,-0.75
28-December-2017,513.00,514.50,507.00,507.75,510.090234315948601662,66150,1112,33742469.00,22149,33.48,7.50,-5.25
27-December-2017,517.10,518.10,512.00,515.50,515.864979462037895852,30188,580,15572932.00,10392,34.42,6.10,-1.60
