Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2018,10600.00,10888.00,10556.75,10805.25,10708.170310015898251192,5032,1245,53883513.00,1876,37.28,331.25,205.25
31-July-2018,10154.10,10599.00,10118.25,10537.20,10443.247349823321554770,3679,927,38420707.00,1618,43.98,480.75,383.10
30-July-2018,10270.25,10300.65,10086.00,10127.35,10157.760124610591900311,1605,524,16303205.00,682,42.49,214.65,-142.90
27-July-2018,10333.00,10380.85,10164.30,10295.80,10285.054318788958147818,2246,503,23100232.00,833,37.09,216.55,-37.20
26-July-2018,10222.00,10350.00,10200.00,10318.05,10308.957333333333333333,1125,329,11597577.00,503,44.71,150.00,96.05
25-July-2018,10330.70,10352.10,10192.55,10269.55,10287.637445887445887445,924,258,9505777.00,410,44.37,159.55,-61.15
24-July-2018,10469.90,10469.90,10255.00,10298.15,10339.108126721763085399,2904,609,30024770.00,1354,46.63,214.90,-171.75
23-July-2018,10500.00,10500.00,10345.40,10415.70,10398.084385104829456555,9587,403,99686435.00,8184,85.37,154.60,-84.30
20-July-2018,10253.95,10431.35,10210.05,10351.10,10332.232155232155232155,1443,472,14909411.00,388,26.89,221.30,97.15
19-July-2018,10383.45,10391.50,10231.45,10287.10,10289.226702508960573476,1116,364,11482777.00,445,39.87,160.05,-96.35
18-July-2018,10556.75,10556.75,10300.00,10409.25,10419.819705434230573895,3938,1196,41033250.00,1334,33.88,256.75,-147.50
17-July-2018,10215.00,10574.00,10210.00,10531.65,10400.835066162570888468,8464,1641,88032668.00,3350,39.58,364.00,316.65
16-July-2018,10150.00,10248.00,10150.00,10210.55,10200.270440251572327044,1113,390,11352901.00,667,59.93,98.00,60.55
13-July-2018,10100.00,10200.05,10063.85,10150.80,10155.759181216134858518,1661,480,16868716.00,615,37.03,136.20,50.80
12-July-2018,10188.00,10257.10,10002.05,10022.80,10099.341435624762628180,2633,513,26591566.00,1124,42.69,255.05,-165.20
11-July-2018,10010.00,10290.00,9953.30,10166.85,10160.129786746159137812,4361,907,44308326.00,1114,25.54,336.70,156.85
10-July-2018,9904.60,10060.00,9901.05,10010.10,10000.350000000000000000,1280,316,12800448.00,766,59.84,158.95,105.50
9-July-2018,9952.50,9964.90,9880.00,9904.60,9917.227863046044864226,847,276,8399892.00,373,44.04,84.90,-47.90
6-July-2018,9959.00,10058.35,9933.00,9948.70,9999.395201129146083274,1417,351,14169143.00,652,46.01,125.35,-10.30
5-July-2018,9870.05,9999.00,9870.05,9964.30,9941.818976279650436953,1602,306,15926794.00,769,48.00,128.95,94.25
4-July-2018,9797.00,9898.00,9783.00,9866.80,9842.017308524448290783,2311,360,22744902.00,1092,47.25,115.00,69.80
3-July-2018,9797.00,9838.00,9729.95,9771.35,9790.298115746971736204,1486,334,14548383.00,457,30.75,108.05,-25.65
2-July-2018,9837.80,9837.80,9745.05,9771.80,9791.618346545866364665,883,205,8645999.00,295,33.41,92.75,-66.00
29-June-2018,9843.10,9899.90,9770.00,9808.55,9837.712643678160919540,1479,456,14549977.00,615,41.58,129.90,-34.55
28-June-2018,9991.00,10094.90,9752.00,9785.55,9882.945330296127562642,1756,511,17354452.00,719,40.95,342.90,-205.45
27-June-2018,10082.00,10190.00,9942.15,9991.80,10075.786516853932584269,3204,920,32282820.00,1209,37.73,247.85,-90.20
26-June-2018,9893.00,10157.95,9893.00,10073.05,10042.618859540854110096,4051,752,40682649.00,1475,36.41,264.95,180.05
25-June-2018,9878.00,10000.00,9852.50,9901.05,9941.561867266591676040,1778,381,17676097.00,863,48.54,147.50,23.05
22-June-2018,9838.00,9902.60,9760.05,9870.75,9863.566292134831460674,1335,318,13167861.00,493,36.93,142.55,32.75
21-June-2018,9750.00,9912.60,9658.65,9841.70,9829.629614604462474645,2465,467,24230037.00,739,29.98,253.95,91.70
20-June-2018,9666.00,9765.00,9664.90,9729.60,9724.890478811227297743,1817,307,17670126.00,694,38.19,100.10,63.60
19-June-2018,9640.00,9800.00,9509.15,9613.00,9611.573481384715871979,3062,533,29430638.00,1113,36.35,290.85,-27.00
18-June-2018,9764.80,9783.05,9580.00,9624.00,9672.218264248704663212,1544,365,14933905.00,772,50.00,203.05,-140.80
15-June-2018,9761.00,9799.00,9678.45,9736.45,9717.534493101379724055,1667,452,16199130.00,816,48.95,120.55,-24.55
14-June-2018,9838.10,9846.55,9660.00,9754.20,9784.546382978723404255,1175,302,11496842.00,578,49.19,186.55,-83.90
13-June-2018,9867.00,9881.85,9797.00,9827.10,9826.248110831234256926,794,226,7802041.00,348,43.83,84.85,-39.90
12-June-2018,9987.85,9987.85,9825.00,9838.70,9874.856526429341963322,1854,474,18307984.00,1031,55.61,162.85,-149.15
11-June-2018,9888.00,10050.00,9880.65,9901.35,9962.150466776496430532,1821,533,18141076.00,667,36.63,169.35,13.35
8-June-2018,9814.00,9956.00,9778.15,9889.40,9906.205285512033978291,2119,476,20991249.00,776,36.62,177.85,75.40
7-June-2018,9781.40,9839.95,9739.00,9791.40,9777.909335727109515260,1114,224,10892591.00,349,31.33,100.95,10.00
6-June-2018,9545.20,9800.00,9545.20,9757.25,9728.612372304199772985,1762,461,17141815.00,485,27.53,254.80,212.05
5-June-2018,9810.00,9836.40,9505.50,9542.05,9627.057082452431289640,2365,659,22767990.00,830,35.10,330.90,-267.95
4-June-2018,9950.00,9999.00,9745.50,9810.40,9919.558587112171837708,52375,648,519536881.00,932,1.78,253.50,-139.60
1-June-2018,9669.00,9998.00,9660.00,9898.25,9888.793802423112767940,4292,1100,42442703.00,993,23.14,338.00,229.25
31-May-2018,9550.00,9795.00,9550.00,9657.75,9746.617440225035161744,8532,945,83158140.00,1061,12.44,245.00,107.75
30-May-2018,9494.05,9584.95,9494.05,9537.30,9545.487932843651626442,953,240,9096850.00,473,49.63,90.90,43.25
29-May-2018,9631.00,9636.90,9497.50,9518.75,9545.024012393493415956,1291,339,12322626.00,638,49.42,139.40,-112.25
28-May-2018,9711.00,9782.00,9628.00,9669.45,9696.972176759410801963,1222,329,11849700.00,608,49.75,154.00,-41.55
25-May-2018,9651.30,9790.00,9643.80,9729.85,9716.844827586206896551,1218,292,11835117.00,445,36.54,146.20,78.55
24-May-2018,9656.00,9711.55,9615.00,9657.75,9665.908318154219793564,1647,391,15919751.00,716,43.47,96.55,1.75
23-May-2018,9636.00,9704.90,9617.00,9634.95,9647.044854881266490765,758,230,7312460.00,273,36.02,87.90,-1.05
22-May-2018,9499.00,9647.95,9428.95,9616.05,9549.556173526140155728,899,311,8585051.00,365,40.60,219.00,117.05
21-May-2018,9688.00,9740.25,9453.10,9479.85,9582.164493865030674846,2608,628,24990285.00,1107,42.45,287.15,-208.15
18-May-2018,9707.95,9850.00,9650.00,9688.75,9758.984949832775919732,2990,672,29179365.00,1235,41.30,200.00,-19.20
17-May-2018,9660.00,9865.00,9547.90,9695.15,9732.668087239909751817,3989,875,38823613.00,985,24.69,317.10,35.15
16-May-2018,9490.25,9670.05,9467.80,9637.60,9574.448343079922027290,2565,509,24558460.00,889,34.66,202.25,147.35
15-May-2018,9577.00,9661.90,9471.90,9547.45,9569.992688870836718115,2462,473,23561322.00,784,31.84,190.00,-29.55
14-May-2018,9506.60,9597.15,9498.90,9573.45,9555.576158940397350993,2114,417,20200488.00,981,46.40,98.25,66.85
11-May-2018,9250.00,9609.55,9160.05,9506.60,9497.043906937154206270,14098,2512,133889325.00,3677,26.08,449.50,256.60
10-May-2018,9150.00,9207.55,8934.80,8986.45,9079.378968253968253968,4032,736,36608056.00,812,20.14,272.75,-163.55
9-May-2018,9103.10,9152.50,9012.35,9092.00,9102.707162974803988734,13137,445,119582264.00,11063,84.21,140.15,-11.10
8-May-2018,9174.55,9174.55,9085.75,9116.95,9103.310882494775759524,6221,314,56631697.00,4862,78.15,88.80,-57.60
7-May-2018,9120.05,9234.95,8900.00,9088.40,9094.710402999062792877,2134,469,19408112.00,531,24.88,334.95,-31.65
4-May-2018,9109.90,9142.70,9090.05,9103.15,9115.563602599814298978,1077,237,9817462.00,349,32.40,52.65,-6.75
3-May-2018,9252.00,9285.30,9025.00,9120.10,9156.988715953307392996,2570,614,23533461.00,690,26.85,260.30,-131.90
2-May-2018,9400.00,9490.00,9212.00,9224.00,9301.839525086173879739,2611,563,24287103.00,1197,45.84,278.00,-176.00
30-April-2018,9090.00,9447.50,9090.00,9406.35,9325.410779111979893884,3581,1041,33394296.00,1661,46.38,357.50,316.35
27-April-2018,9050.00,9125.95,8866.55,9057.50,9038.656333333333333333,3000,733,27115969.00,1211,40.37,259.40,7.50
26-April-2018,8799.80,9189.95,8799.80,9061.55,9089.612713811590502935,3917,1296,35604013.00,1173,29.95,390.15,261.75
25-April-2018,8866.55,8899.55,8668.05,8734.65,8780.765348595213319458,1922,543,16876631.00,714,37.15,231.50,-131.90
24-April-2018,8944.00,9017.65,8809.40,8823.30,8870.958692858454194969,5447,513,48320112.00,4419,81.13,208.25,-120.70
23-April-2018,9130.00,9166.00,8888.45,8924.45,8983.531448714404202377,14468,662,129973733.00,12759,88.19,277.55,-205.55
20-April-2018,9151.00,9246.35,9123.10,9165.40,9187.807602339181286549,1710,519,15711151.00,782,45.73,123.25,14.40
19-April-2018,8960.05,9200.00,8960.05,9153.50,9082.037262049412717699,2469,616,22423550.00,1027,41.60,239.95,193.45
18-April-2018,9028.00,9119.95,8971.65,8987.10,9059.956621880998080614,2605,655,23601187.00,948,36.39,148.30,-40.90
17-April-2018,8755.00,9035.00,8755.00,9015.95,8935.468753596501323512,8689,854,77640288.00,5892,67.81,280.00,260.95
16-April-2018,8689.95,8777.70,8669.00,8744.70,8734.572592969943963321,1963,433,17145966.00,834,42.49,108.70,54.75
13-April-2018,8627.50,8739.70,8617.80,8692.30,8692.426508071367884451,2354,496,20461972.00,1100,46.73,121.90,64.80
12-April-2018,8475.00,8698.00,8325.60,8627.35,8558.643108917870990482,28370,900,242808705.00,26931,94.93,372.40,152.35
11-April-2018,8510.30,8510.30,8392.90,8473.60,8462.299638989169675090,1662,414,14064342.00,646,38.87,117.40,-36.70
