Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-March-2018,165.15,166.85,162.45,162.85,164.312690173617325935,363155,3089,59670975.00,189795,52.26,4.40,-2.30
28-February-2018,164.30,168.20,164.30,166.60,166.674848277212216131,204320,1543,34055005.00,69146,33.84,3.90,2.30
27-February-2018,164.50,170.00,163.60,167.00,166.827676952205279190,451054,3362,75248291.00,196366,43.53,6.40,2.50
26-February-2018,165.00,165.60,163.00,163.45,163.963243454572970791,317168,2382,52003894.00,198644,62.63,2.60,-1.55
23-February-2018,165.10,167.35,163.80,164.05,165.292529972581498366,247643,1538,40933538.00,154244,62.28,3.55,-1.05
22-February-2018,164.50,167.15,164.00,165.15,165.883326782241714593,193352,1382,32073873.00,99350,51.38,3.15,0.65
21-February-2018,164.25,166.80,163.65,165.05,164.898033558194010194,198938,1450,32804485.00,92688,46.59,3.15,0.80
20-February-2018,162.00,164.90,161.00,164.25,163.504317160889461089,214377,1458,35051565.00,120582,56.25,3.90,2.25
19-February-2018,164.60,165.00,160.60,162.20,162.068556084992782753,193287,1766,31325745.00,90079,46.60,4.40,-2.40
16-February-2018,166.00,166.95,163.50,164.45,164.620623961897900782,249855,1731,41131286.00,150811,60.36,3.45,-1.55
15-February-2018,169.00,169.35,165.15,166.00,166.811585287815672464,242221,1508,40405269.00,145876,60.22,4.20,-3.00
14-February-2018,170.00,172.65,167.30,168.00,169.277454718658383447,392601,2617,66458498.00,201546,51.34,5.35,-2.00
12-February-2018,169.50,171.10,168.20,169.65,169.671133639579703257,378780,2587,64268032.00,173950,45.92,2.90,0.15
9-February-2018,163.80,172.95,163.05,167.75,168.360521112186375423,954804,6396,160751299.00,287823,30.14,9.90,3.95
8-February-2018,164.25,169.80,164.25,168.20,168.043936326534124769,464809,3440,78108334.00,218985,47.11,5.55,3.95
7-February-2018,160.70,165.00,160.70,163.75,163.674231917253568755,554465,2971,90751633.00,290393,52.37,4.30,3.05
6-February-2018,160.00,162.00,155.50,158.95,158.941724659835345379,1058458,6322,168233140.00,408780,38.62,6.50,-1.05
5-February-2018,164.50,167.25,162.05,165.15,164.415982960332108090,580293,4331,95409444.00,252234,43.47,5.20,0.65
2-February-2018,172.05,172.95,165.00,167.95,169.066383627621722066,720042,5377,121734897.00,306229,42.53,7.95,-4.10
1-February-2018,171.00,175.30,170.00,174.10,172.881986192974977829,408198,3481,70570081.00,139269,34.12,5.30,3.10
31-January-2018,170.20,172.80,170.00,171.10,171.311032603736197838,306836,2503,52564392.00,135541,44.17,2.80,0.90
30-January-2018,174.00,174.05,170.00,170.15,171.663692401853632945,457480,3622,78532706.00,266105,58.17,4.05,-3.85
29-January-2018,176.50,177.00,172.75,173.55,174.929241264462783348,311057,2673,54412965.00,177268,56.99,4.25,-2.95
25-January-2018,176.85,179.10,175.30,175.65,176.714600531515221809,396602,2943,70085364.00,170458,42.98,3.80,-1.20
24-January-2018,177.00,178.85,175.00,176.40,176.903963603863055190,483348,2863,85506177.00,259031,53.59,3.85,-0.60
23-January-2018,179.25,179.95,175.35,176.00,177.648390917516686828,395971,3039,70343611.00,186652,47.14,4.60,-3.25
22-January-2018,176.05,179.45,175.80,178.35,177.878373856921007270,433369,2745,77086973.00,174756,40.32,3.65,2.30
19-January-2018,177.00,179.25,176.15,176.95,177.363831698919885806,363943,2837,64550325.00,198364,54.50,3.10,-0.05
18-January-2018,182.00,183.15,176.00,176.75,179.423133394348842699,618422,4786,110959213.00,325691,52.66,7.15,-5.25
17-January-2018,180.20,182.90,178.25,181.75,181.085281754526804031,358752,2774,64964707.00,144946,40.40,4.65,1.55
16-January-2018,185.00,185.45,180.00,180.75,182.025450043773254541,438624,3440,79840731.00,254824,58.10,5.45,-4.25
15-January-2018,184.70,186.75,184.00,184.75,185.299838183085445037,490678,4184,90922554.00,303238,61.80,2.75,0.05
12-January-2018,186.00,187.80,183.60,184.10,185.169454430852553926,685376,6055,126910700.00,325539,47.50,4.20,-1.90
11-January-2018,184.00,187.90,183.00,185.05,185.343400974127084968,802770,5796,148788122.00,302585,37.69,4.90,1.05
10-January-2018,184.40,185.15,183.25,183.55,184.230991285804484604,407037,2630,74988830.00,165204,40.59,1.90,-0.85
9-January-2018,183.70,187.80,183.45,184.10,185.654690191916748308,748189,4874,138904797.00,313596,41.91,4.35,0.40
8-January-2018,186.40,186.75,182.80,183.30,184.179297565112243535,636785,6104,117282614.00,358043,56.23,3.95,-3.10
5-January-2018,184.95,186.20,184.50,184.80,185.240470149972703041,498224,4606,92291248.00,272078,54.61,1.70,-0.15
4-January-2018,186.00,186.00,183.40,183.90,184.414819681939347318,374394,4204,69043802.00,184271,49.22,2.60,-2.10
3-January-2018,185.00,186.15,184.10,184.55,184.869985770312011939,288130,4265,53266589.00,163144,56.62,2.05,-0.45
2-January-2018,187.60,187.80,184.15,184.95,185.357708433433598146,303862,2530,56323164.00,154121,50.72,3.65,-2.65
1-January-2018,184.75,189.35,184.10,186.40,187.505012208870730366,540181,5358,101286645.00,241201,44.65,5.25,1.65
29-December-2017,185.00,185.70,183.65,184.10,184.535875616050030565,369694,3561,68221806.00,210631,56.97,2.05,-0.90
28-December-2017,184.00,185.80,184.00,184.65,184.713601229031301257,394457,4429,72861573.00,207396,52.58,1.80,0.65
27-December-2017,185.00,185.80,183.75,184.15,184.800561867308371957,444233,3351,82094508.00,264732,59.59,2.05,-0.85
26-December-2017,187.95,188.00,184.60,185.10,185.387747487768176216,565533,4724,104842889.00,311109,55.01,3.40,-2.85
22-December-2017,190.30,191.85,185.00,187.10,188.866072448163917845,980784,6464,185236822.00,468760,47.79,6.85,-3.20
21-December-2017,183.40,191.30,183.40,189.30,186.904431124906346997,654010,5797,122237367.00,289553,44.27,7.90,5.90
20-December-2017,184.05,185.75,183.25,183.65,184.476334248178312144,447799,6073,82608318.00,265668,59.33,2.50,-0.40
19-December-2017,185.50,187.65,183.65,184.85,185.003799417348826389,361108,3189,66806352.00,198249,54.90,4.00,-0.65
18-December-2017,185.00,187.30,179.15,185.25,184.336899838158604567,500490,4336,92258775.00,193303,38.62,8.15,0.25
15-December-2017,185.10,186.60,182.00,184.85,185.350043931714726804,402898,3479,74677162.00,212605,52.77,4.60,-0.25
14-December-2017,185.90,186.25,181.75,182.75,183.022397938864551095,449461,4153,82261430.00,251186,55.89,4.50,-3.15
13-December-2017,185.60,188.10,184.70,185.25,186.219241314103547432,358541,3502,66767233.00,174267,48.60,3.40,-0.35
12-December-2017,187.35,188.35,185.60,186.15,186.778197827762974585,295732,2749,55236290.00,164728,55.70,2.75,-1.20
11-December-2017,189.80,191.00,187.05,187.55,188.174947182678780074,1048425,2858,197287319.00,841546,80.27,3.95,-2.25
8-December-2017,191.50,191.50,188.10,188.75,189.937499138275724193,580232,4524,110207815.00,310924,53.59,3.40,-2.75
7-December-2017,188.00,190.90,187.00,189.25,189.379329463397038095,449103,3593,85050825.00,209657,46.68,3.90,1.25
6-December-2017,190.65,190.65,186.40,186.90,187.885828770854299193,433244,4093,81400408.00,222719,51.41,4.25,-3.75
5-December-2017,189.40,191.15,188.10,190.10,189.291262540377913104,2400446,4893,454383454.00,1964821,81.85,3.05,0.70
4-December-2017,193.70,193.70,189.00,189.65,190.365886669821175084,560045,5479,106613463.00,283246,50.58,4.70,-4.05
1-December-2017,195.30,196.80,191.50,192.10,194.759828478920701508,666507,4807,129808789.00,373047,55.97,5.30,-3.20
30-November-2017,197.00,197.90,193.80,194.65,195.778993761260255207,873093,6446,170933269.00,541664,62.04,4.10,-2.35
29-November-2017,201.45,203.00,197.70,198.30,199.880149231072589609,573071,5152,114545517.00,325686,56.83,5.30,-3.15
28-November-2017,205.30,207.35,200.10,201.55,204.070006852939979101,589528,5208,120304983.00,291755,49.49,7.25,-3.75
27-November-2017,202.15,205.50,201.50,204.65,203.995274477981735227,404823,3694,82581979.00,183830,45.41,4.00,2.50
24-November-2017,202.10,205.65,202.10,202.75,203.560323483274685207,471740,4235,96027547.00,218752,46.37,3.55,0.65
23-November-2017,202.50,205.75,201.00,202.25,203.118193264085615360,622692,5399,126480074.00,199052,31.97,4.75,-0.25
22-November-2017,205.80,205.95,201.00,202.20,203.038437943194585534,705813,5932,143307169.00,258070,36.56,4.95,-3.60
21-November-2017,205.80,208.85,202.20,205.35,205.820815445332548865,1414123,10509,291055949.00,484525,34.26,6.65,-0.45
20-November-2017,198.00,204.90,198.00,204.15,202.160048714597856141,865449,6888,174959212.00,346826,40.07,6.90,6.15
17-November-2017,201.10,203.15,196.00,197.90,199.567716652292542995,963537,13375,192290879.00,411551,42.71,7.15,-3.20
16-November-2017,190.00,199.70,190.00,198.65,195.766063446687509154,989965,7531,193801551.00,376006,37.98,9.70,8.65
15-November-2017,190.00,194.15,187.55,189.60,191.009678083059002279,884576,6914,168962577.00,333350,37.68,6.60,-0.40
14-November-2017,194.10,195.10,190.10,190.60,191.777194105496565059,757655,5598,145300950.00,357951,47.24,5.00,-3.50
13-November-2017,194.95,198.35,193.50,194.35,195.645130766301125677,764073,6393,149487162.00,315811,41.33,4.85,-0.60
10-November-2017,199.30,199.50,193.75,194.80,196.496474890440180501,922099,6965,181189203.00,389908,42.28,5.75,-4.50
9-November-2017,198.30,201.90,196.30,199.55,199.071629194177292908,1091245,9279,217235920.00,381856,34.99,5.60,1.25
8-November-2017,202.95,205.00,195.55,196.60,199.805639351596582261,2163653,27441,432310071.00,935787,43.25,9.45,-6.35
7-November-2017,209.80,213.80,198.50,202.30,206.229716907065757860,3553674,30042,732873183.00,1224304,34.45,15.30,-7.50
6-November-2017,194.10,210.00,194.10,207.40,204.936022007581958661,4049877,31013,829965682.00,1640108,40.50,15.90,13.30
3-November-2017,189.45,194.65,187.00,193.70,191.102942228287215793,1761658,12385,336658027.00,824444,46.80,7.65,4.25
2-November-2017,179.00,191.55,179.00,187.20,187.285581671008179441,2544428,21476,476534678.00,896705,35.24,12.55,8.20
1-November-2017,179.30,183.70,177.70,178.20,180.201998438007992312,833551,6406,150207556.00,337934,40.54,6.00,-1.10
31-October-2017,180.00,180.10,177.70,178.15,178.419604425123326915,279947,2376,49948033.00,170475,60.90,2.40,-1.85
30-October-2017,176.00,181.70,176.00,179.20,179.531053250027798564,665502,5888,119478275.00,327888,49.27,5.70,3.20
27-October-2017,175.00,176.95,174.80,175.30,175.383075527134462495,694320,3420,121771977.00,525403,75.67,2.15,0.30
